"Hot", "Cold"
"Good", "Bad"
"Highly addictive", "Mildly addictive"
"Weird", "Normal"
"Colorful", "Colorless"
"High calorie", "Low calorie"
"Feels good", "Feels bad"
"Essential", "Inessential"
"Expensive", "Cheap"
"Overrated weapon", "Underrated weapon"
"Common", "Rare"
"Hard subject", "Easy subject"
"Famous", "Unknown"
"Easy to use", "Difficult to use"
"Clean", "Dirty"
"Flavorful", "Flavorless"
"Fascinating topic", "Boring topic"
"Good actors", "Bad actors"
"Hipster", "Basic"
"Safe job", "Dangerous job"
"Sci-Fi", "Fantasy"
"Formal", "Casual"
"Overpaid", "Underpaid"
"Wet", "Dry"
"Overrated skill", "Underrated skill"
"Encouraged", "Forbidden"
"Happy song", "Sad song"
"Durable", "Fragile"
"Dork", "Geek"
"Evil", "Good"
"Good habit", "Bad habit"
"Dog person", "Cat person"
"Talented", "Untalented"
"Light", "Dark"
"Overrated actor", "Underrated actor"
"Easy to find", "Hard to find"
"Easy to remember", "Hard to remember"
"Healthy", "Unhealthy"
"Good man", "Bad man"
"Historically relevant", "Historically relevant"
"Hairy", "Hairless"
"Flexible", "Inflexible"
"Exotic pet", "Normal pet"
"Extrovert", "Introvert"
"Movie was better", "Book was better"
"Good movie",  "Bad movie"
"Hated", "Loved"
"Good pizza topping", "Bad pizza topping"
"Utopia", "Dystopia"
"Nice person", "Mean person"
